X,Y,Datetime,Lat,Lon,FRP(mw),Firesize(km^2),temp(k),Category,Description
-1437034.926616358337924,-3638911.123020188417286,2016-01-02 07:50:00,-32.5767,116.535,-9999,-9999,-9999,15, Low Possibility
-1493496.92929286044091,-3665260.999014768749475,2016-01-02 08:10:00,-32.7484,115.8981,-9999,-9999,-9999,15, Low Possibility
-1453192.512280310504138,-3714838.651705791242421,2016-01-02 08:10:00,-33.2336,116.2627,-9999,-9999,-9999,15, Low Possibility
-1405705.948149963282049,-3760892.982734041754156,2016-01-02 08:10:00,-33.6947,116.7126,-9999,-9999,-9999,15, Low Possibility
-1450815.963083240902051,-3654830.516246296931058,2016-01-02 08:40:00,-32.7031,116.3673,27.94,0.076901,420.2,10, Processed
-1467917.917161445133388,-3750220.905886824708432,2016-01-03 01:30:00,-33.5318,116.0573,-9999,-9999,-9999,15, Low Possibility
-1432516.149803555337712,-3757470.546235321089625,2016-01-03 01:40:00,-33.6353,116.4284,-9999,-9999,-9999,15, Low Possibility
-1472011.990555954631418,-3718253.12988436082378,2016-01-03 02:00:00,-33.2431,116.0564,33.37,0.060507,440.4,10, Processed
-1444382.998547747964039,-3745943.241654593963176,2016-01-03 02:20:00,-33.5198,116.316,-9999,-9999,-9999,15, Low Possibility
-1444382.998547747964039,-3745943.241654593963176,2016-01-03 02:30:00,-33.5198,116.316,-9999,-9999,-9999,15, Low Possibility
-1505185.891356400214136,-3710775.746771989390254,2016-01-03 02:50:00,-33.1393,115.7112,15.48,0.041314,422,10, Processed
-1450872.764700673287734,-3758047.134218354243785,2016-01-03 03:00:00,-33.6203,116.2301,-9999,-9999,-9999,15, Low Possibility
-1450872.764700673287734,-3758047.134218354243785,2016-01-03 03:10:00,-33.6203,116.2301,-9999,-9999,-9999,15, Low Possibility
-1463308.749484831700101,-3616720.888735161162913,2016-01-03 03:20:00,-32.3511,116.2843,40.65,0.056851,454.3,10, Processed
-1470982.390172154642642,-3726237.477158893831074,2016-01-03 03:20:00,-33.3152,116.0567,36.4,0.048687,456.7,10, Processed
-1450872.764700673287734,-3758047.134218354243785,2016-01-03 03:20:00,-33.6203,116.2301,44.45,0.070907,447.4,10, Processed
-1463308.749484831700101,-3616720.888735161162913,2016-01-03 03:30:00,-32.3511,116.2843,39.36,0.06794,443.2,10, Processed
-1493296.430581914260983,-3678741.18167072115466,2016-01-03 03:30:00,-32.8683,115.882,-9999,-9999,-9999,15, Low Possibility
-1489018.761314935050905,-3680654.597188755404204,2016-01-03 03:30:00,-32.8901,115.9251,-9999,-9999,-9999,15, Low Possibility
-1463308.749484831700101,-3616720.888735161162913,2016-01-03 03:40:00,-32.3511,116.2843,-9999,-9999,-9999,15, Low Possibility
-1493296.430581914260983,-3678741.18167072115466,2016-01-03 04:00:00,-32.8683,115.882,-9999,-9999,-9999,15, Low Possibility
-1489018.761314935050905,-3680654.597188755404204,2016-01-03 04:00:00,-32.8901,115.9251,-9999,-9999,-9999,15, Low Possibility
-1493296.430581914260983,-3678741.18167072115466,2016-01-03 04:20:00,-32.8683,115.882,-9999,-9999,-9999,15, Low Possibility
-1489018.761314935050905,-3680654.597188755404204,2016-01-03 04:20:00,-32.8901,115.9251,-9999,-9999,-9999,15, Low Possibility
-1472011.990555954631418,-3718253.12988436082378,2016-01-03 04:20:00,-33.2431,116.0564,29.82,0.003504,650.6,10, Processed
-1455742.891518277814612,-3642238.126900893636048,2016-01-03 04:30:00,-32.5859,116.3313,49.12,0.157764,413.6,10, Processed
-1488361.08588210074231,-3661614.98403927218169,2016-01-03 04:30:00,-32.7218,115.9578,-9999,-9999,-9999,15, Low Possibility
-1493296.430581914260983,-3678741.18167072115466,2016-01-03 04:30:00,-32.8683,115.882,79.85,-9999,-9999,14, Medium Possibility
-1438664.661520710680634,-3753109.860248210374266,2016-01-03 04:30:00,-33.5898,116.368,40.29,0.021114,515.9,10, Processed
-1467917.917161445133388,-3750220.905886824708432,2016-01-03 04:40:00,-33.5318,116.0573,-9999,-9999,-9999,15, Low Possibility
