X,Y,Datetime,Latitude,Longitude,FRP(mw),Firesize(km2),temp(k),Category,Description
616618.261637507355772,-3243812.550418318249285,2015-12-18 06:40:00,-29.6872,138.4472,67.91,0.260644,406.8,10, Processed
616433.675062425085343,-3246329.306914498563856,2015-12-18 06:40:00,-29.7097,138.4466,-9999,-9999,-9999,15, Low Possibility
616248.548315424006432,-3248857.230061256792396,2015-12-18 06:40:00,-29.7323,138.446,-9999,-9999,-9999,15, Low Possibility
618274.143002959317528,-3248948.461222981568426,2015-12-18 06:40:00,-29.7322,138.4672,-9999,-9999,-9999,15, Low Possibility
617913.809351588017307,-3253982.237006499897689,2015-12-18 06:40:00,-29.7772,138.4661,76.04,0.080489,470.7,10, Processed
615519.536086205975153,-3258935.484492413233966,2015-12-18 06:40:00,-29.8224,138.4437,-9999,-9999,-9999,15, Low Possibility
617542.891029431833886,-3259037.792683895677328,2015-12-18 06:40:00,-29.8224,138.4649,-9999,-9999,-9999,15, Low Possibility
611287.489979804726318,-3261282.089856913778931,2015-12-18 06:40:00,-29.8452,138.4007,-9999,-9999,-9999,15, Low Possibility
613311.018924836767837,-3261372.498170125298202,2015-12-18 06:40:00,-29.8451,138.4219,-9999,-9999,-9999,15, Low Possibility
615334.534697676892392,-3261463.242362708318979,2015-12-18 06:40:00,-29.845,138.4431,-9999,-9999,-9999,15, Low Possibility
600601.435959009919316,-3296342.878848721738905,2015-12-18 06:40:00,-30.1623,138.3071,-9999,-9999,-9999,15, Low Possibility
661175.641480185324326,-3301754.711221973411739,2015-12-18 06:40:00,-30.1825,138.9451,-9999,-9999,-9999,15, Low Possibility
808656.287825215258636,-3312913.88870785664767,2015-12-18 06:40:00,-30.2024,140.4979,-9999,-9999,-9999,15, Low Possibility
634491.715601576026529,-3305540.112939700949937,2015-12-18 06:40:00,-30.2289,138.6674,34.42,0.096291,421,10, Processed
563177.460878713638522,-3307489.227369205560535,2015-12-18 06:40:00,-30.2776,137.9201,-9999,-9999,-9999,12, Cloudy
623810.152490888605826,-3312674.79323238087818,2015-12-18 06:40:00,-30.2974,138.5592,38.63,0.083626,432.9,10, Processed
557986.459316861350089,-3322586.809898390900344,2015-12-18 06:40:00,-30.4143,137.8729,6.69,-9999,-9999,15, Low Possibility
658071.501957247499377,-3345000.461995494086295,2015-12-18 06:40:00,-30.5693,138.9372,36.75,0.125725,411.4,10, Processed
598523.127481529838406,-3352433.964145179837942,2015-12-18 06:40:00,-30.6631,138.3144,-9999,-9999,-9999,15, Low Possibility
652726.034288753056899,-3362676.242745695170015,2015-12-18 06:40:00,-30.7294,138.891,56.75,0.012366,587.3,10, Processed
677049.528856254648417,-3363924.267626142129302,2015-12-18 06:40:00,-30.7286,139.148,-9999,-9999,-9999,15, Low Possibility
830698.542190144071355,-3406737.106838720850646,2015-12-18 06:40:00,-31.0245,140.7966,-9999,-9999,-9999,15, Low Possibility
604907.487315726350062,-3404167.438326113391668,2015-12-18 06:40:00,-31.1215,138.409,37.24,0.105719,420,10, Processed
771305.380356508423574,-3441615.868930510245264,2015-12-18 06:40:00,-31.3705,140.1931,-9999,-9999,-9999,15, Low Possibility
760987.554850469576195,-3443560.542035839986056,2015-12-18 06:40:00,-31.3937,140.0851,-9999,-9999,-9999,15, Low Possibility
583369.03680020372849,-3447230.083487302530557,2015-12-18 06:40:00,-31.5151,138.2033,-9999,-9999,-9999,15, Low Possibility
814495.794310662895441,-3465215.770572288427502,2015-12-18 06:40:00,-31.5554,140.6675,36.28,0.04869,457.4,10, Processed
617292.893671731348149,-3485194.19311489071697,2015-12-18 06:40:00,-31.8387,138.5842,-9999,-9999,-9999,15, Low Possibility
572321.575146426330321,-3485815.914942797739059,2015-12-18 06:40:00,-31.8642,138.1056,42.17,0.022355,515.3,10, Processed
943768.207969530718401,-3514072.653344054706395,2015-12-18 06:40:00,-31.9061,142.0788,47.01,0.006464,633.3,10, Processed
945795.058469905517995,-3514244.284116253722459,2015-12-18 06:40:00,-31.9062,142.1005,41.77,0.008723,591.3,10, Processed
583372.577640376519412,-3501954.428229848854244,2015-12-18 06:40:00,-32.0035,138.2317,46.79,0.177361,407.3,10, Processed
716550.259102363372222,-3524385.670796831604093,2015-12-18 06:40:00,-32.139,139.6656,-9999,-9999,-9999,15, Low Possibility
588989.516681767185219,-3177183.275258996989578,2015-12-18 06:50:00,-29.1059,138.1254,53.93,0.047175,482.2,10, Processed
591935.553765204851516,-3192360.210942791309208,2015-12-18 06:50:00,-29.2398,138.1636,37.65,0.035943,476.9,10, Processed
618225.158663355745375,-3193523.043637812603265,2015-12-18 06:50:00,-29.2386,138.4375,46.11,0.124953,421.9,10, Processed
642477.299553535645828,-3194657.868826924823225,2015-12-18 06:50:00,-29.2376,138.6902,30.98,0.00301,673.1,10, Processed
560672.882944447686896,-3203621.881256673950702,2015-12-18 06:50:00,-29.3532,137.8439,38.76,0.003911,668.5,10, Processed
600607.271478807553649,-3240567.03275138605386,2015-12-18 06:50:00,-29.6654,138.2784,68.52,0.257816,407.6,10, Processed
600425.997359467437491,-3243084.062009626533836,2015-12-18 06:50:00,-29.6879,138.2778,70.42,0.18736,422.8,10, Processed
602452.535544364480302,-3243172.666603845544159,2015-12-18 06:50:00,-29.6878,138.299,66.01,-9999,-9999,13, High Possibility
684129.719683638657443,-3264849.661855908576399,2015-12-18 06:50:00,-29.8425,139.164,38.18,0.071515,439.8,10, Processed
658406.794432147871703,-3283822.027465141844004,2015-12-18 06:50:00,-30.0241,138.9059,-9999,-9999,-9999,15, Low Possibility
619757.818989464780316,-3284497.539134158287197,2015-12-18 06:50:00,-30.0482,138.5016,38.4,0.021956,510.1,10, Processed
637430.086774056078866,-3292953.979246698785573,2015-12-18 06:50:00,-30.1154,138.6913,39.86,0.001968,766.7,10, Processed
639276.688052639481612,-3295587.797939274460077,2015-12-18 06:50:00,-30.138,138.7121,40.9,0.00176,789,10, Processed
713436.526394762098789,-3309640.51108037866652,2015-12-18 06:50:00,-30.2264,139.4977,-9999,-9999,-9999,15, Low Possibility
612023.965561945922673,-3307035.922744176816195,2015-12-18 06:50:00,-30.2525,138.4325,-9999,-9999,-9999,15, Low Possibility
604079.375248088617809,-3332200.656689325347543,2015-12-18 06:50:00,-30.4803,138.3623,-9999,-9999,-9999,15, Low Possibility
587291.089092362206429,-3339139.359949758276343,2015-12-18 06:50:00,-30.5495,138.1893,34.64,0.045091,459.1,10, Processed
583042.714563668472692,-3341514.440221366006881,2015-12-18 06:50:00,-30.5725,138.1458,43.39,0.071591,446.3,10, Processed
582673.283068130724132,-3346623.473629895132035,2015-12-18 06:50:00,-30.6182,138.1445,33.15,0.032679,475.1,10, Processed
584701.578873369959183,-3346710.053208893630654,2015-12-18 06:50:00,-30.6181,138.1659,51.16,0.109466,433.4,10, Processed
671882.278695439570583,-3350831.705168209504336,2015-12-18 06:50:00,-30.6145,139.0859,-9999,-9999,-9999,15, Low Possibility
586159.427807217114605,-3354453.679744182154536,2015-12-18 06:50:00,-30.6865,138.1852,-9999,-9999,-9999,12, Cloudy
585968.982657174579799,-3357013.275105128064752,2015-12-18 06:50:00,-30.7094,138.1845,40.46,0.114621,420.3,10, Processed
574499.3108006141847,-3374509.795106579549611,2015-12-18 06:50:00,-30.8703,138.0724,26.74,0.05717,433.5,10, Processed
621180.493374271551147,-3376573.936404313426465,2015-12-18 06:50:00,-30.8681,138.5661,-9999,-9999,-9999,15, Low Possibility
646253.140262671629898,-3395793.449516816996038,2015-12-18 06:50:00,-31.0277,138.8415,-9999,-9999,-9999,15, Low Possibility
591499.321539963479154,-3447583.093337761238217,2015-12-18 06:50:00,-31.5147,138.2898,49.03,0.078891,447.5,10, Processed
812829.007574513088912,-3459907.603760900441557,2015-12-18 06:50:00,-31.5091,140.646,-9999,-9999,-9999,15, Low Possibility
596068.582460304605775,-3468587.750665407627821,2015-12-18 06:50:00,-31.7001,138.3494,-9999,-9999,-9999,15, Low Possibility
850939.383253532927483,-3499064.693873129785061,2015-12-18 06:50:00,-31.8345,141.0796,-9999,-9999,-9999,15, Low Possibility
841764.52021987142507,-3514096.733586434274912,2015-12-18 06:50:00,-31.9743,140.9933,-9999,-9999,-9999,15, Low Possibility
920938.565906557952985,-3520078.009051964618266,2015-12-18 06:50:00,-31.9755,141.8409,-9999,-9999,-9999,15, Low Possibility
847680.851114172954112,-3517140.018897357396781,2015-12-18 06:50:00,-31.9977,141.0586,-9999,-9999,-9999,15, Low Possibility
888115.299480125075206,-3522762.024596672970802,2015-12-18 06:50:00,-32.0216,141.4936,9.04,-9999,-9999,15, Low Possibility
765528.144663546583615,-3524716.309149427339435,2015-12-18 06:50:00,-32.1148,140.1884,-9999,-9999,-9999,15, Low Possibility
630799.100236195372418,-3328321.304728047922254,2015-12-18 09:10:00,-30.4336,138.6411,-9999,-9999,-9999,15, Low Possibility
604196.170365984668024,-3386087.171453604940325,2015-12-18 10:00:00,-30.9606,138.3919,2.34,-9999,-9999,15, Low Possibility
604010.668175435741432,-3388657.456423914059997,2015-12-18 10:10:00,-30.9836,138.3913,5.29,-9999,-9999,15, Low Possibility
551706.905974135850556,-3324891.070048184134066,2015-12-18 12:30:00,-30.4374,137.808,-9999,-9999,-9999,15, Low Possibility
726700.660775474621914,-3467479.233176864683628,2015-12-18 21:00:00,-31.6259,139.7371,-9999,-9999,-9999,15, Low Possibility
556882.335749093443155,-3500858.684744509868324,2015-12-18 21:10:00,-32.005,137.9486,-9999,-9999,-9999,15, Low Possibility
764546.444387778057717,-3480197.200777034275234,2015-12-18 21:20:00,-31.7183,140.1476,-9999,-9999,-9999,15, Low Possibility
596365.713937386637554,-3298693.116891016718,2015-12-18 21:50:00,-30.1851,138.2639,-9999,-9999,-9999,15, Low Possibility
554202.485096788033843,-3263940.742521269246936,2015-12-18 22:10:00,-29.8932,137.8051,1.8,-9999,-9999,15, Low Possibility
596856.116509861778468,-3513026.237416879739612,2015-12-18 22:10:00,-32.0964,138.3814,5.56,-9999,-9999,15, Low Possibility
657885.465236197807826,-3347548.994963408913463,2015-12-18 22:50:00,-30.5921,138.9367,-9999,-9999,-9999,15, Low Possibility
610886.232843454345129,-3461443.96333620371297,2015-12-18 22:50:00,-31.6297,138.5031,-9999,-9999,-9999,15, Low Possibility
618626.969020775170065,-3355902.188769107684493,2015-12-18 23:40:00,-30.685,138.528,-9999,-9999,-9999,15, Low Possibility
732132.798575482680462,-3216999.192926932126284,2015-12-19 06:00:00,-29.3917,139.6356,-9999,-9999,-9999,15, Low Possibility
704521.117164484341629,-3263417.181700392160565,2015-12-19 06:00:00,-29.8194,139.3762,43,0.040767,477.5,10, Processed
740556.912037228234112,-3270529.517979257274419,2015-12-19 06:00:00,-29.8637,139.7571,-9999,-9999,-9999,15, Low Possibility
831449.124257486662827,-3276305.724308649543673,2015-12-19 06:00:00,-29.8629,140.7105,33.66,0.077056,429.6,10, Processed
744135.385222514159977,-3306317.370398708153516,2015-12-19 06:00:00,-30.1804,139.8174,-9999,-9999,-9999,15, Low Possibility
725214.841596076032147,-3315402.37406468577683,2015-12-19 06:00:00,-30.2715,139.6248,-9999,-9999,-9999,15, Low Possibility
763115.883300228393637,-3325306.934730778448284,2015-12-19 06:00:00,-30.339,140.0288,-9999,-9999,-9999,15, Low Possibility
