X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,id,satellite,satellite_,satellit_1,sensor,orbit,start_dt,stop_dt,filename,process_dt,process_al,process__1,load_dt,latitude,longitude,temp_kelvi,datetime,power,confidence,age_hours,australian,hold_dt,hold_dt_2
-1504173.22037777,-3689516.59568603,,,,,,,-1,0,-1,,,10720049,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21819,2016-01-13T06:06:35Z,2016-01-13T06:17:45Z,Npp20160113T060635Z20160113T061745Zhotspots.txt,,VIIRS (AER),6,,-32.9517,115.7511,,2016-01-13T06:12:10Z,,100,6997,WA,2016-01-13,2016-01-13T18:06:35Z
-1464742.50314892,-3682920.14095475,,,,,,,-1,0,-1,,,10713454,TERRA,1999-068A,NASA,MODIS,85478,2016-01-13T02:34:57Z,2016-01-13T02:43:54Z,Terra20160113T023457Z20160113T024354Zhotspots.txt,,MOD14,5.0.1,,-32.9373,116.1815,334.70,2016-01-13T02:35:10Z,37.1,86,7000,WA,2016-01-13,2016-01-13T06:34:57Z
-1466126.90027512,-3682910.91758574,,,,,,,-1,0,-1,,,10713453,TERRA,1999-068A,NASA,MODIS,85478,2016-01-13T02:34:57Z,2016-01-13T02:43:54Z,Terra20160113T023457Z20160113T024354Zhotspots.txt,,MOD14,5.0.1,,-32.9357,116.1667,320.00,2016-01-13T02:35:00Z,16.0,37,7000,WA,2016-01-13,2016-01-13T06:34:57Z
-1465613.20714126,-3681178.28612898,,,,,,,-1,0,-1,,,10713452,TERRA,1999-068A,NASA,MODIS,85478,2016-01-13T02:34:57Z,2016-01-13T02:43:54Z,Terra20160113T023457Z20160113T024354Zhotspots.txt,,MOD14,5.0.1,,-32.9208,116.1745,326.00,2016-01-13T02:35:00Z,21.4,57,7000,WA,2016-01-13,2016-01-13T06:34:57Z
-1479384.05675324,-3694066.45528676,,,,,,,-1,0,-1,,,10713244,NOAA 19,2009-005A,NOAA,AVHRR,35692,2016-01-11T17:54:57Z,2016-01-11T18:10:07Z,Noaa1920160111T175457Z20160111T181007Zhotspots.txt,,GA AVHRR,1.0.0,,-33.0200,116.0100,300.60,2016-01-11T18:02:32Z,,,7033,WA,2016-01-12,2016-01-12T05:54:57Z
-1479523.5062105,-3692958.1158356,,,,,,,-1,0,-1,,,10713242,NOAA 19,2009-005A,NOAA,AVHRR,35692,2016-01-11T17:54:57Z,2016-01-11T18:10:07Z,Noaa1920160111T175457Z20160111T181007Zhotspots.txt,,GA AVHRR,1.0.0,,-33.0100,116.0100,307.30,2016-01-11T18:02:32Z,,,7033,WA,2016-01-12,2016-01-12T05:54:57Z
-1478603.05780798,-3692842.34311666,,,,,,,-1,0,-1,,,10713243,NOAA 19,2009-005A,NOAA,AVHRR,35692,2016-01-11T17:54:57Z,2016-01-11T18:10:07Z,Noaa1920160111T175457Z20160111T181007Zhotspots.txt,,GA AVHRR,1.0.0,,-33.0100,116.0200,296.30,2016-01-11T18:02:32Z,,,7033,WA,2016-01-12,2016-01-12T05:54:57Z
-1480443.94554816,-3693073.96060168,,,,,,,-1,0,-1,,,10713241,NOAA 19,2009-005A,NOAA,AVHRR,35692,2016-01-11T17:54:57Z,2016-01-11T18:10:07Z,Noaa1920160111T175457Z20160111T181007Zhotspots.txt,,GA AVHRR,1.0.0,,-33.0100,116.0000,302.20,2016-01-11T18:02:32Z,,,7033,WA,2016-01-12,2016-01-12T05:54:57Z
-1480583.48413073,-3691965.613235,,,,,,,-1,0,-1,,,10713240,NOAA 19,2009-005A,NOAA,AVHRR,35692,2016-01-11T17:54:57Z,2016-01-11T18:10:07Z,Noaa1920160111T175457Z20160111T181007Zhotspots.txt,,GA AVHRR,1.0.0,,-33.0000,116.0000,307.70,2016-01-11T18:02:32Z,,,7033,WA,2016-01-12,2016-01-12T05:54:57Z
-1467638.38473876,-3684343.50597259,,,,,,,-1,0,-1,,,10713153,AQUA,2002-022A,NASA,MODIS,72811,2016-01-11T05:27:50Z,2016-01-11T05:39:53Z,Aqua20160111T052750Z20160111T053953Zhotspots.txt,,MOD14,5.0.1,,-32.9467,116.1486,327.20,2016-01-11T05:34:50Z,26.0,80,7045,WA,2016-01-11,2016-01-11T09:27:50Z
